Sales_Person,Country,Product,Total_Revenue,Total_Boxes,Total_Transactions,Revenue_Per_Box,Revenue_Per_Transaction
Jehu Rudeforth,Canada,Milk Bars,7203,12,1,600.25,7203.0
Gunar Cockshoot,India,Organic Choco Syrup,7196,160,1,44.975,7196.0
Madelene Upcott,Australia,Spicy Special Slims,7182,408,1,17.602941176470587,7182.0
Gunar Cockshoot,New Zealand,After Nines,7175,145,1,49.48275862068966,7175.0
Husein Augar,Australia,Manuka Honey Choco,7161,92,1,77.83695652173913,7161.0
Andria Kimpton,Canada,Caramel Stuffed Bars,7154,348,1,20.557471264367816,7154.0
Curtice Advani,India,White Choc,7154,342,1,20.91812865497076,7154.0
Jehu Rudeforth,USA,Raspberry Choco,7154,133,1,53.78947368421053,7154.0
Jehu Rudeforth,UK,Drinking Coco,7140,438,1,16.301369863013697,7140.0
Kaine Padly,UK,Manuka Honey Choco,7133,118,1,60.44915254237288,7133.0
Beverie Moffet,New Zealand,White Choc,7126,7,1,1018.0,7126.0
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,7119,101,1,70.48514851485149,7119.0
Dennison Crosswaite,Australia,Drinking Coco,7091,194,1,36.55154639175258,7091.0
Van Tuxwell,Canada,70% Dark Bites,7077,77,1,91.9090909090909,7077.0
Van Tuxwell,Australia,70% Dark Bites,7063,104,1,67.91346153846153,7063.0
Wilone O'Kielt,USA,Orange Choco,7042,37,1,190.32432432432432,7042.0
Dotty Strutley,New Zealand,White Choc,7014,60,1,116.9,7014.0
Gunar Cockshoot,USA,85% Dark Bars,7007,135,1,51.903703703703705,7007.0
Husein Augar,Australia,Eclairs,6993,31,1,225.58064516129033,6993.0
Mallorie Waber,USA,Almond Choco,6986,368,1,18.983695652173914,6986.0
Curtice Advani,Australia,Milk Bars,6979,18,1,387.72222222222223,6979.0
Dotty Strutley,Australia,Eclairs,6979,3,1,2326.3333333333335,6979.0
Jehu Rudeforth,New Zealand,85% Dark Bars,6972,89,1,78.33707865168539,6972.0
Madelene Upcott,UK,Organic Choco Syrup,6965,163,1,42.73006134969325,6965.0
Oby Sorrel,Australia,85% Dark Bars,6944,27,1,257.18518518518516,6944.0
Brien Boise,Canada,Manuka Honey Choco,6930,182,1,38.07692307692308,6930.0
Rafaelita Blaksland,Australia,Raspberry Choco,6916,259,1,26.7027027027027,6916.0
Kelci Walkden,Australia,After Nines,6916,288,1,24.01388888888889,6916.0
Gunar Cockshoot,USA,Eclairs,6916,42,1,164.66666666666666,6916.0
Dennison Crosswaite,India,99% Dark & Pure,6888,311,1,22.14790996784566,6888.0
Brien Boise,Australia,Eclairs,6888,88,1,78.27272727272727,6888.0
Dennison Crosswaite,Australia,85% Dark Bars,6881,420,1,16.383333333333333,6881.0
Gunar Cockshoot,New Zealand,Spicy Special Slims,6867,183,1,37.52459016393443,6867.0
Ches Bonnell,India,Caramel Stuffed Bars,6839,56,1,122.125,6839.0
Karlen McCaffrey,UK,Almond Choco,6839,133,1,51.421052631578945,6839.0
Oby Sorrel,India,Raspberry Choco,6832,46,1,148.52173913043478,6832.0
Brien Boise,Australia,Drinking Coco,6832,156,1,43.794871794871796,6832.0
Kaine Padly,Australia,After Nines,6832,306,1,22.326797385620914,6832.0
Rafaelita Blaksland,Australia,White Choc,6818,102,1,66.84313725490196,6818.0
Gunar Cockshoot,UK,Raspberry Choco,6811,344,1,19.799418604651162,6811.0
Roddy Speechley,Australia,Mint Chip Choco,6797,252,1,26.97222222222222,6797.0
Beverie Moffet,Australia,Organic Choco Syrup,6790,356,1,19.073033707865168,6790.0
Dotty Strutley,Australia,Mint Chip Choco,6790,25,1,271.6,6790.0
Kaine Padly,USA,Peanut Butter Cubes,6790,188,1,36.11702127659574,6790.0
Roddy Speechley,Canada,Drinking Coco,6776,312,1,21.71794871794872,6776.0
Brien Boise,USA,99% Dark & Pure,6769,353,1,19.175637393767705,6769.0
Gunar Cockshoot,UK,Manuka Honey Choco,6762,46,1,147.0,6762.0
Madelene Upcott,Australia,Orange Choco,6713,398,1,16.866834170854272,6713.0
Barr Faughny,New Zealand,Eclairs,6713,31,1,216.5483870967742,6713.0
Kaine Padly,Australia,70% Dark Bites,6706,223,1,30.071748878923767,6706.0
Andria Kimpton,Australia,Peanut Butter Cubes,6678,148,1,45.12162162162162,6678.0
Karlen McCaffrey,Australia,50% Dark Bites,6678,708,1,9.432203389830509,6678.0
Beverie Moffet,New Zealand,Organic Choco Syrup,6678,226,1,29.548672566371682,6678.0
Jehu Rudeforth,USA,Smooth Sliky Salty,6657,154,1,43.22727272727273,6657.0
Oby Sorrel,Canada,50% Dark Bites,6615,137,1,48.284671532846716,6615.0
Marney O'Breen,Canada,Peanut Butter Cubes,6594,91,1,72.46153846153847,6594.0
Gigi Bohling,Canada,White Choc,6587,4,1,1646.75,6587.0
Barr Faughny,India,Caramel Stuffed Bars,6566,99,1,66.32323232323232,6566.0
Jehu Rudeforth,USA,White Choc,6559,119,1,55.11764705882353,6559.0
Andria Kimpton,New Zealand,Almond Choco,6559,158,1,41.5126582278481,6559.0
Van Tuxwell,UK,Raspberry Choco,6538,79,1,82.75949367088607,6538.0
Dennison Crosswaite,USA,Raspberry Choco,6524,257,1,25.3852140077821,6524.0
Gigi Bohling,Australia,Raspberry Choco,6524,303,1,21.53135313531353,6524.0
Mallorie Waber,New Zealand,Orange Choco,6510,23,1,283.04347826086956,6510.0
Gunar Cockshoot,India,Spicy Special Slims,6510,170,1,38.294117647058826,6510.0
Jan Morforth,India,After Nines,6496,168,1,38.666666666666664,6496.0
Marney O'Breen,India,Peanut Butter Cubes,6489,146,1,44.445205479452056,6489.0
Beverie Moffet,UK,White Choc,6475,76,1,85.19736842105263,6475.0
Barr Faughny,New Zealand,Raspberry Choco,6468,66,1,98.0,6468.0
Oby Sorrel,UK,Milk Bars,6468,223,1,29.004484304932735,6468.0
Kelci Walkden,USA,Drinking Coco,6454,160,1,40.3375,6454.0
Barr Faughny,India,Baker's Choco Chips,6454,141,1,45.773049645390074,6454.0
Dennison Crosswaite,New Zealand,Mint Chip Choco,6454,417,1,15.477218225419664,6454.0
Husein Augar,India,70% Dark Bites,6454,157,1,41.10828025477707,6454.0
Barr Faughny,New Zealand,Mint Chip Choco,6440,145,1,44.41379310344828,6440.0
Oby Sorrel,USA,Almond Choco,6440,141,1,45.673758865248224,6440.0
Husein Augar,New Zealand,After Nines,6433,7,1,919.0,6433.0
Van Tuxwell,India,Almond Choco,6426,390,1,16.476923076923075,6426.0
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,6426,98,1,65.57142857142857,6426.0
Mallorie Waber,UK,Mint Chip Choco,6384,2,1,3192.0,6384.0
Camilla Castle,Australia,Raspberry Choco,6342,178,1,35.62921348314607,6342.0
Van Tuxwell,Canada,Peanut Butter Cubes,6342,282,1,22.48936170212766,6342.0
Karlen McCaffrey,Canada,Spicy Special Slims,6328,47,1,134.63829787234042,6328.0
Mallorie Waber,USA,Eclairs,6328,51,1,124.07843137254902,6328.0
Brien Boise,India,Raspberry Choco,6328,164,1,38.58536585365854,6328.0
Madelene Upcott,Australia,Raspberry Choco,6321,88,1,71.82954545454545,6321.0
Andria Kimpton,India,Spicy Special Slims,6307,142,1,44.41549295774648,6307.0
Van Tuxwell,USA,Fruit & Nut Bars,6279,235,1,26.719148936170214,6279.0
Kaine Padly,UK,Peanut Butter Cubes,6272,86,1,72.93023255813954,6272.0
Barr Faughny,Canada,Drinking Coco,6237,247,1,25.251012145748987,6237.0
Roddy Speechley,Canada,Eclairs,6237,88,1,70.875,6237.0
Oby Sorrel,UK,70% Dark Bites,6223,181,1,34.38121546961326,6223.0
Brien Boise,Australia,Spicy Special Slims,6223,256,1,24.30859375,6223.0
Dennison Crosswaite,UK,Eclairs,6188,270,1,22.918518518518518,6188.0
Kelci Walkden,USA,50% Dark Bites,6188,223,1,27.748878923766817,6188.0
Oby Sorrel,India,Organic Choco Syrup,6181,56,1,110.375,6181.0
Van Tuxwell,India,Spicy Special Slims,6167,4,1,1541.75,6167.0
Beverie Moffet,Canada,85% Dark Bars,6139,45,1,136.42222222222222,6139.0
Oby Sorrel,Canada,Eclairs,6111,591,1,10.34010152284264,6111.0
Karlen McCaffrey,India,Almond Choco,6090,149,1,40.87248322147651,6090.0
Karlen McCaffrey,New Zealand,85% Dark Bars,6069,55,1,110.34545454545454,6069.0
Marney O'Breen,USA,Raspberry Choco,6069,151,1,40.19205298013245,6069.0
Kaine Padly,Canada,Almond Choco,6055,73,1,82.94520547945206,6055.0
Beverie Moffet,India,Drinking Coco,6055,46,1,131.6304347826087,6055.0
Dotty Strutley,Australia,White Choc,6055,93,1,65.10752688172043,6055.0
Camilla Castle,Australia,70% Dark Bites,6048,477,1,12.679245283018869,6048.0
Oby Sorrel,Australia,Almond Choco,6034,223,1,27.05829596412556,6034.0
Brien Boise,USA,Orange Choco,6020,147,1,40.95238095238095,6020.0
Gunar Cockshoot,Australia,Fruit & Nut Bars,6013,21,1,286.3333333333333,6013.0
Brien Boise,New Zealand,Baker's Choco Chips,5978,24,1,249.08333333333334,5978.0
Brien Boise,India,Smooth Sliky Salty,5964,26,1,229.3846153846154,5964.0
Van Tuxwell,Australia,Caramel Stuffed Bars,5936,59,1,100.61016949152543,5936.0
Kelci Walkden,UK,Smooth Sliky Salty,5929,175,1,33.88,5929.0
Camilla Castle,USA,50% Dark Bites,5908,301,1,19.627906976744185,5908.0
Jan Morforth,Canada,70% Dark Bites,5894,305,1,19.324590163934428,5894.0
Roddy Speechley,Canada,White Choc,5887,268,1,21.96641791044776,5887.0
Roddy Speechley,Canada,Choco Coated Almonds,5873,249,1,23.586345381526105,5873.0
Dennison Crosswaite,Australia,70% Dark Bites,5859,108,1,54.25,5859.0
Curtice Advani,Canada,Choco Coated Almonds,5859,7,1,837.0,5859.0
Gunar Cockshoot,USA,Fruit & Nut Bars,5852,93,1,62.924731182795696,5852.0
Dotty Strutley,New Zealand,Raspberry Choco,5845,91,1,64.23076923076923,5845.0
Kaine Padly,Canada,After Nines,5845,172,1,33.98255813953488,5845.0
Marney O'Breen,Australia,Baker's Choco Chips,5810,101,1,57.524752475247524,5810.0
Van Tuxwell,UK,Drinking Coco,5803,136,1,42.669117647058826,5803.0
Curtice Advani,Australia,Eclairs,5796,55,1,105.38181818181818,5796.0
Gigi Bohling,Canada,Fruit & Nut Bars,5782,103,1,56.13592233009709,5782.0
Gigi Bohling,UK,Drinking Coco,5782,42,1,137.66666666666666,5782.0
Dennison Crosswaite,Australia,Organic Choco Syrup,5775,41,1,140.85365853658536,5775.0
Gunar Cockshoot,UK,Choco Coated Almonds,5775,135,1,42.77777777777778,5775.0
Dotty Strutley,UK,Caramel Stuffed Bars,5768,235,1,24.54468085106383,5768.0
Gigi Bohling,Australia,Smooth Sliky Salty,5768,119,1,48.470588235294116,5768.0
Brien Boise,UK,Drinking Coco,5754,133,1,43.26315789473684,5754.0
Brien Boise,India,After Nines,5747,45,1,127.71111111111111,5747.0
Dennison Crosswaite,Australia,Raspberry Choco,5740,31,1,185.16129032258064,5740.0
Dotty Strutley,New Zealand,Choco Coated Almonds,5733,348,1,16.474137931034484,5733.0
Van Tuxwell,India,Choco Coated Almonds,5733,114,1,50.28947368421053,5733.0
Ches Bonnell,New Zealand,After Nines,5705,350,1,16.3,5705.0
Brien Boise,Canada,Smooth Sliky Salty,5691,495,1,11.496969696969696,5691.0
Oby Sorrel,USA,Spicy Special Slims,5691,417,1,13.647482014388489,5691.0
Jehu Rudeforth,Australia,Peanut Butter Cubes,5691,38,1,149.76315789473685,5691.0
Roddy Speechley,UK,Peanut Butter Cubes,5691,171,1,33.280701754385966,5691.0
Kaine Padly,Canada,Organic Choco Syrup,5684,81,1,70.17283950617283,5684.0
Madelene Upcott,New Zealand,Fruit & Nut Bars,5677,21,1,270.3333333333333,5677.0
Gigi Bohling,New Zealand,50% Dark Bites,5670,64,1,88.59375,5670.0
Oby Sorrel,India,Eclairs,5663,322,1,17.58695652173913,5663.0
Ches Bonnell,UK,Smooth Sliky Salty,5663,110,1,51.481818181818184,5663.0
Gigi Bohling,UK,Almond Choco,5642,9,1,626.8888888888889,5642.0
Madelene Upcott,USA,Baker's Choco Chips,5621,140,1,40.15,5621.0
Kaine Padly,India,Spicy Special Slims,5614,137,1,40.97810218978102,5614.0
Gigi Bohling,New Zealand,After Nines,5600,181,1,30.939226519337016,5600.0
Kaine Padly,USA,Caramel Stuffed Bars,5593,122,1,45.84426229508197,5593.0
Madelene Upcott,Australia,Fruit & Nut Bars,5579,92,1,60.641304347826086,5579.0
Jehu Rudeforth,UK,70% Dark Bites,5565,258,1,21.569767441860463,5565.0
Barr Faughny,New Zealand,Almond Choco,5558,127,1,43.76377952755905,5558.0
Gigi Bohling,Australia,White Choc,5523,87,1,63.48275862068966,5523.0
Brien Boise,New Zealand,White Choc,5509,321,1,17.161993769470406,5509.0
Roddy Speechley,USA,Fruit & Nut Bars,5509,24,1,229.54166666666666,5509.0
Jehu Rudeforth,UK,85% Dark Bars,5502,64,1,85.96875,5502.0
Mallorie Waber,UK,50% Dark Bites,5502,99,1,55.57575757575758,5502.0
Barr Faughny,UK,Raspberry Choco,5481,69,1,79.43478260869566,5481.0
Barr Faughny,New Zealand,Manuka Honey Choco,5474,239,1,22.90376569037657,5474.0
Van Tuxwell,UK,Eclairs,5474,109,1,50.22018348623853,5474.0
Kaine Padly,Australia,Peanut Butter Cubes,5460,286,1,19.09090909090909,5460.0
Jehu Rudeforth,Canada,Smooth Sliky Salty,5460,138,1,39.56521739130435,5460.0
Madelene Upcott,USA,Choco Coated Almonds,5446,132,1,41.25757575757576,5446.0
Roddy Speechley,New Zealand,Milk Bars,5446,116,1,46.94827586206897,5446.0
Mallorie Waber,Australia,Spicy Special Slims,5439,287,1,18.951219512195124,5439.0
Mallorie Waber,USA,Manuka Honey Choco,5425,96,1,56.510416666666664,5425.0
Curtice Advani,New Zealand,85% Dark Bars,5404,187,1,28.898395721925134,5404.0
Madelene Upcott,UK,70% Dark Bites,5397,239,1,22.581589958158997,5397.0
Van Tuxwell,India,Smooth Sliky Salty,5376,38,1,141.47368421052633,5376.0
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,5334,227,1,23.497797356828194,5334.0
Kelci Walkden,India,Eclairs,5334,80,1,66.675,5334.0
Ches Bonnell,Canada,Spicy Special Slims,5327,183,1,29.10928961748634,5327.0
Jehu Rudeforth,UK,Mint Chip Choco,5320,180,1,29.555555555555557,5320.0
Roddy Speechley,New Zealand,Baker's Choco Chips,5313,215,1,24.711627906976744,5313.0
Brien Boise,UK,White Choc,5299,167,1,31.730538922155688,5299.0
Dotty Strutley,USA,Mint Chip Choco,5292,248,1,21.338709677419356,5292.0
Beverie Moffet,USA,White Choc,5292,134,1,39.492537313432834,5292.0
Ches Bonnell,USA,White Choc,5271,341,1,15.457478005865102,5271.0
Jehu Rudeforth,Australia,After Nines,5250,47,1,111.70212765957447,5250.0
Jan Morforth,UK,50% Dark Bites,5250,293,1,17.918088737201366,5250.0
Curtice Advani,India,Fruit & Nut Bars,5243,176,1,29.789772727272727,5243.0
Van Tuxwell,New Zealand,Eclairs,5229,182,1,28.73076923076923,5229.0
Jan Morforth,Australia,70% Dark Bites,5222,384,1,13.598958333333334,5222.0
Jehu Rudeforth,Australia,50% Dark Bites,5194,418,1,12.425837320574162,5194.0
Curtice Advani,USA,Drinking Coco,5187,142,1,36.528169014084504,5187.0
Kelci Walkden,USA,Almond Choco,5180,233,1,22.23175965665236,5180.0
Gunar Cockshoot,New Zealand,Almond Choco,5173,129,1,40.10077519379845,5173.0
Madelene Upcott,New Zealand,Peanut Butter Cubes,5152,333,1,15.471471471471471,5152.0
Husein Augar,Canada,70% Dark Bites,5131,285,1,18.003508771929823,5131.0
Brien Boise,Australia,Choco Coated Almonds,5124,62,1,82.64516129032258,5124.0
Roddy Speechley,India,Smooth Sliky Salty,5103,140,1,36.45,5103.0
Van Tuxwell,India,50% Dark Bites,5103,129,1,39.55813953488372,5103.0
Rafaelita Blaksland,Canada,99% Dark & Pure,5096,142,1,35.88732394366197,5096.0
Karlen McCaffrey,India,70% Dark Bites,5075,344,1,14.752906976744185,5075.0
Mallorie Waber,New Zealand,Organic Choco Syrup,5075,256,1,19.82421875,5075.0
Dennison Crosswaite,New Zealand,Manuka Honey Choco,5061,301,1,16.813953488372093,5061.0
Brien Boise,Canada,Mint Chip Choco,5033,178,1,28.275280898876403,5033.0
Karlen McCaffrey,New Zealand,Baker's Choco Chips,5012,189,1,26.51851851851852,5012.0
Jehu Rudeforth,Australia,Spicy Special Slims,5012,384,1,13.052083333333334,5012.0
Wilone O'Kielt,USA,Milk Bars,5012,93,1,53.89247311827957,5012.0
Wilone O'Kielt,Canada,Smooth Sliky Salty,4991,166,1,30.066265060240966,4991.0
Camilla Castle,UK,Mint Chip Choco,4977,317,1,15.700315457413248,4977.0
Husein Augar,India,Eclairs,4956,58,1,85.44827586206897,4956.0
Curtice Advani,Canada,Peanut Butter Cubes,4935,63,1,78.33333333333333,4935.0
Gigi Bohling,India,Manuka Honey Choco,4935,73,1,67.6027397260274,4935.0
Andria Kimpton,New Zealand,Organic Choco Syrup,4935,39,1,126.53846153846153,4935.0
Marney O'Breen,New Zealand,Eclairs,4914,31,1,158.51612903225808,4914.0
Van Tuxwell,Canada,Drinking Coco,4900,709,1,6.91114245416079,4900.0
Brien Boise,Australia,White Choc,4879,22,1,221.77272727272728,4879.0
Kelci Walkden,Australia,Almond Choco,4879,350,1,13.94,4879.0
Camilla Castle,UK,Peanut Butter Cubes,4872,126,1,38.666666666666664,4872.0
Curtice Advani,Canada,Almond Choco,4865,70,1,69.5,4865.0
Wilone O'Kielt,UK,Organic Choco Syrup,4858,52,1,93.42307692307692,4858.0
Andria Kimpton,Canada,Manuka Honey Choco,4858,488,1,9.954918032786885,4858.0
Roddy Speechley,New Zealand,85% Dark Bars,4844,275,1,17.614545454545453,4844.0
Mallorie Waber,Canada,Caramel Stuffed Bars,4844,539,1,8.987012987012987,4844.0
Kelci Walkden,Canada,99% Dark & Pure,4830,50,1,96.6,4830.0
Kelci Walkden,USA,Fruit & Nut Bars,4816,145,1,33.213793103448275,4816.0
Curtice Advani,USA,Mint Chip Choco,4802,296,1,16.222972972972972,4802.0
Karlen McCaffrey,India,Drinking Coco,4795,233,1,20.5793991416309,4795.0
Mallorie Waber,Canada,Choco Coated Almonds,4781,241,1,19.83817427385892,4781.0
Madelene Upcott,India,Organic Choco Syrup,4781,38,1,125.8157894736842,4781.0
Brien Boise,Canada,Almond Choco,4781,125,1,38.248,4781.0
Jan Morforth,India,85% Dark Bars,4760,418,1,11.38755980861244,4760.0
Marney O'Breen,USA,After Nines,4753,163,1,29.15950920245399,4753.0
Marney O'Breen,India,Fruit & Nut Bars,4753,151,1,31.47682119205298,4753.0
Karlen McCaffrey,UK,Baker's Choco Chips,4753,389,1,12.218508997429305,4753.0
Camilla Castle,New Zealand,Raspberry Choco,4746,137,1,34.64233576642336,4746.0
Rafaelita Blaksland,India,After Nines,4739,204,1,23.230392156862745,4739.0
Van Tuxwell,UK,99% Dark & Pure,4725,137,1,34.48905109489051,4725.0
Rafaelita Blaksland,USA,White Choc,4704,126,1,37.333333333333336,4704.0
Rafaelita Blaksland,UK,Smooth Sliky Salty,4704,62,1,75.87096774193549,4704.0
Husein Augar,UK,Spicy Special Slims,4697,42,1,111.83333333333333,4697.0
Brien Boise,New Zealand,Eclairs,4690,299,1,15.68561872909699,4690.0
Curtice Advani,Australia,99% Dark & Pure,4676,84,1,55.666666666666664,4676.0
Camilla Castle,Australia,99% Dark & Pure,4669,101,1,46.227722772277225,4669.0
Brien Boise,India,70% Dark Bites,4641,413,1,11.23728813559322,4641.0
Jehu Rudeforth,Canada,White Choc,4627,136,1,34.02205882352941,4627.0
Kelci Walkden,UK,Eclairs,4606,57,1,80.80701754385964,4606.0
Oby Sorrel,UK,Raspberry Choco,4599,323,1,14.238390092879257,4599.0
Karlen McCaffrey,USA,White Choc,4592,2,1,2296.0,4592.0
Dennison Crosswaite,New Zealand,Orange Choco,4571,140,1,32.65,4571.0
Madelene Upcott,USA,After Nines,4571,430,1,10.630232558139534,4571.0
Ches Bonnell,USA,70% Dark Bites,4571,122,1,37.467213114754095,4571.0
Barr Faughny,New Zealand,50% Dark Bites,4557,308,1,14.795454545454545,4557.0
Oby Sorrel,New Zealand,Raspberry Choco,4550,281,1,16.19217081850534,4550.0
Husein Augar,India,Peanut Butter Cubes,4522,5,1,904.4,4522.0
Dennison Crosswaite,India,85% Dark Bars,4515,22,1,205.22727272727272,4515.0
Camilla Castle,USA,Eclairs,4515,392,1,11.517857142857142,4515.0
Jan Morforth,Canada,After Nines,4515,172,1,26.25,4515.0
Wilone O'Kielt,USA,50% Dark Bites,4501,131,1,34.3587786259542,4501.0
Gigi Bohling,India,Peanut Butter Cubes,4501,91,1,49.46153846153846,4501.0
Oby Sorrel,New Zealand,Milk Bars,4494,187,1,24.032085561497325,4494.0
Roddy Speechley,India,Drinking Coco,4494,11,1,408.54545454545456,4494.0
Roddy Speechley,Australia,Almond Choco,4466,74,1,60.351351351351354,4466.0
Jan Morforth,India,Almond Choco,4466,22,1,203.0,4466.0
Andria Kimpton,Australia,50% Dark Bites,4438,227,1,19.550660792951543,4438.0
Karlen McCaffrey,Australia,Spicy Special Slims,4410,323,1,13.653250773993808,4410.0
Kaine Padly,Australia,Mint Chip Choco,4403,159,1,27.69182389937107,4403.0
Beverie Moffet,UK,Smooth Sliky Salty,4403,76,1,57.93421052631579,4403.0
Rafaelita Blaksland,Australia,Manuka Honey Choco,4396,131,1,33.55725190839695,4396.0
Ches Bonnell,New Zealand,Milk Bars,4389,126,1,34.833333333333336,4389.0
Karlen McCaffrey,USA,Milk Bars,4389,7,1,627.0,4389.0
Jan Morforth,USA,Fruit & Nut Bars,4382,361,1,12.138504155124654,4382.0
Roddy Speechley,India,Eclairs,4382,303,1,14.462046204620462,4382.0
Husein Augar,India,Orange Choco,4361,40,1,109.025,4361.0
Marney O'Breen,India,Caramel Stuffed Bars,4361,81,1,53.839506172839506,4361.0
Beverie Moffet,New Zealand,Mint Chip Choco,4361,97,1,44.95876288659794,4361.0
Oby Sorrel,New Zealand,White Choc,4361,40,1,109.025,4361.0
Dotty Strutley,Canada,Raspberry Choco,4347,238,1,18.264705882352942,4347.0
Oby Sorrel,USA,Manuka Honey Choco,4340,86,1,50.46511627906977,4340.0
Husein Augar,India,Fruit & Nut Bars,4340,226,1,19.20353982300885,4340.0
Husein Augar,UK,Choco Coated Almonds,4333,43,1,100.76744186046511,4333.0
Madelene Upcott,Australia,99% Dark & Pure,4326,154,1,28.09090909090909,4326.0
Karlen McCaffrey,New Zealand,Mint Chip Choco,4326,61,1,70.91803278688525,4326.0
Roddy Speechley,New Zealand,50% Dark Bites,4312,211,1,20.436018957345972,4312.0
Barr Faughny,Canada,White Choc,4291,1,1,4291.0,4291.0
Wilone O'Kielt,Australia,Manuka Honey Choco,4284,94,1,45.57446808510638,4284.0
Jehu Rudeforth,UK,Choco Coated Almonds,4270,185,1,23.08108108108108,4270.0
Van Tuxwell,UK,Milk Bars,4263,90,1,47.36666666666667,4263.0
Brien Boise,Australia,Organic Choco Syrup,4263,264,1,16.147727272727273,4263.0
Gunar Cockshoot,India,Mint Chip Choco,4256,67,1,63.52238805970149,4256.0
Madelene Upcott,India,Raspberry Choco,4221,9,1,469.0,4221.0
Ches Bonnell,UK,Manuka Honey Choco,4221,395,1,10.686075949367089,4221.0
Mallorie Waber,Canada,Almond Choco,4214,35,1,120.4,4214.0
Roddy Speechley,Australia,85% Dark Bars,4200,80,1,52.5,4200.0
Curtice Advani,Canada,Fruit & Nut Bars,4193,195,1,21.502564102564104,4193.0
Andria Kimpton,Australia,85% Dark Bars,4186,233,1,17.965665236051503,4186.0
Wilone O'Kielt,India,Caramel Stuffed Bars,4179,276,1,15.141304347826088,4179.0
Mallorie Waber,Australia,Smooth Sliky Salty,4158,109,1,38.14678899082569,4158.0
Marney O'Breen,USA,99% Dark & Pure,4151,296,1,14.02364864864865,4151.0
Camilla Castle,New Zealand,Caramel Stuffed Bars,4137,347,1,11.922190201729107,4137.0
Ches Bonnell,Australia,Eclairs,4116,128,1,32.15625,4116.0
Dennison Crosswaite,New Zealand,Drinking Coco,4109,197,1,20.85786802030457,4109.0
Kaine Padly,Australia,Almond Choco,4102,392,1,10.464285714285714,4102.0
Curtice Advani,New Zealand,Spicy Special Slims,4074,469,1,8.686567164179104,4074.0
Van Tuxwell,Canada,Organic Choco Syrup,4067,42,1,96.83333333333333,4067.0
Andria Kimpton,Canada,White Choc,4067,29,1,140.24137931034483,4067.0
Roddy Speechley,India,Orange Choco,4053,19,1,213.31578947368422,4053.0
Kaine Padly,Australia,Milk Bars,4046,89,1,45.46067415730337,4046.0
Van Tuxwell,New Zealand,Mint Chip Choco,4046,103,1,39.28155339805825,4046.0
Roddy Speechley,Canada,Organic Choco Syrup,4032,82,1,49.170731707317074,4032.0
Husein Augar,USA,Eclairs,4025,112,1,35.9375,4025.0
Kaine Padly,USA,70% Dark Bites,4018,100,1,40.18,4018.0
Kelci Walkden,UK,85% Dark Bars,3997,228,1,17.530701754385966,3997.0
Jehu Rudeforth,New Zealand,50% Dark Bites,3990,59,1,67.62711864406779,3990.0
Roddy Speechley,USA,Eclairs,3990,155,1,25.741935483870968,3990.0
Barr Faughny,New Zealand,Smooth Sliky Salty,3990,169,1,23.609467455621303,3990.0
Rafaelita Blaksland,Australia,Smooth Sliky Salty,3969,243,1,16.333333333333332,3969.0
Andria Kimpton,India,Organic Choco Syrup,3955,134,1,29.51492537313433,3955.0
Mallorie Waber,India,Drinking Coco,3948,142,1,27.802816901408452,3948.0
Oby Sorrel,Australia,Manuka Honey Choco,3906,76,1,51.39473684210526,3906.0
Barr Faughny,UK,Milk Bars,3864,430,1,8.986046511627906,3864.0
Jehu Rudeforth,Canada,Orange Choco,3857,512,1,7.533203125,3857.0
Gunar Cockshoot,USA,Drinking Coco,3843,5,1,768.6,3843.0
Wilone O'Kielt,New Zealand,Baker's Choco Chips,3836,59,1,65.01694915254237,3836.0
Madelene Upcott,India,Mint Chip Choco,3836,71,1,54.028169014084504,3836.0
Dotty Strutley,USA,99% Dark & Pure,3822,320,1,11.94375,3822.0
Jan Morforth,UK,Orange Choco,3780,201,1,18.80597014925373,3780.0
Gunar Cockshoot,India,Smooth Sliky Salty,3752,70,1,53.6,3752.0
Gunar Cockshoot,Australia,Almond Choco,3752,424,1,8.849056603773585,3752.0
Marney O'Breen,Australia,Smooth Sliky Salty,3745,170,1,22.029411764705884,3745.0
Gunar Cockshoot,USA,After Nines,3738,261,1,14.32183908045977,3738.0
Barr Faughny,UK,Mint Chip Choco,3724,316,1,11.784810126582279,3724.0
Wilone O'Kielt,New Zealand,Manuka Honey Choco,3724,234,1,15.914529914529915,3724.0
Madelene Upcott,Australia,70% Dark Bites,3710,260,1,14.26923076923077,3710.0
Barr Faughny,USA,Orange Choco,3703,11,1,336.6363636363636,3703.0
Husein Augar,Canada,Eclairs,3696,233,1,15.86266094420601,3696.0
Camilla Castle,Australia,85% Dark Bars,3654,14,1,261.0,3654.0
Karlen McCaffrey,UK,50% Dark Bites,3647,310,1,11.764516129032257,3647.0
Roddy Speechley,Australia,Organic Choco Syrup,3647,76,1,47.98684210526316,3647.0
Kelci Walkden,UK,Orange Choco,3640,3,1,1213.3333333333333,3640.0
Kelci Walkden,India,70% Dark Bites,3640,106,1,34.339622641509436,3640.0
Van Tuxwell,New Zealand,50% Dark Bites,3626,10,1,362.6,3626.0
Gunar Cockshoot,UK,Eclairs,3619,164,1,22.067073170731707,3619.0
