Sales_Person,Product,Total_Revenue,Total_Boxes,Revenue_Per_Box
Marney O'Breen,Caramel Stuffed Bars,9282,807,11.50185873605948
Jan Morforth,85% Dark Bars,4760,418,11.38755980861244
Ches Bonnell,Manuka Honey Choco,4221,395,10.686075949367089
Madelene Upcott,After Nines,4571,430,10.630232558139534
Marney O'Breen,85% Dark Bars,3423,328,10.435975609756097
Beverie Moffet,70% Dark Bites,2723,261,10.432950191570882
Kaine Padly,Drinking Coco,2317,224,10.34375
Jan Morforth,Manuka Honey Choco,4977,483,10.304347826086957
Kaine Padly,Orange Choco,1960,191,10.261780104712042
Gigi Bohling,Milk Bars,4893,481,10.172557172557173
Karlen McCaffrey,70% Dark Bites,13153,1298,10.133281972265022
Rafaelita Blaksland,Organic Choco Syrup,994,105,9.466666666666667
Mallorie Waber,Caramel Stuffed Bars,4844,539,8.987012987012987
Barr Faughny,Milk Bars,3864,430,8.986046511627906
Curtice Advani,85% Dark Bars,6762,761,8.885676741130093
Kaine Padly,Smooth Sliky Salty,9023,1072,8.416977611940299
Karlen McCaffrey,Drinking Coco,5075,612,8.292483660130719
Karlen McCaffrey,Organic Choco Syrup,2415,312,7.740384615384615
Kaine Padly,85% Dark Bars,2212,290,7.627586206896551
Husein Augar,85% Dark Bars,378,54,7.0
Dennison Crosswaite,Fruit & Nut Bars,2366,342,6.918128654970761
Curtice Advani,Spicy Special Slims,6692,985,6.793908629441624
Curtice Advani,Orange Choco,854,136,6.279411764705882
Husein Augar,Organic Choco Syrup,938,158,5.936708860759493
Dotty Strutley,70% Dark Bites,1267,216,5.8657407407407405
Kelci Walkden,Spicy Special Slims,735,134,5.485074626865671
Dotty Strutley,Fruit & Nut Bars,3178,587,5.4139693356047704
Jan Morforth,Organic Choco Syrup,2996,563,5.321492007104796
Beverie Moffet,50% Dark Bites,5649,1080,5.230555555555555
Roddy Speechley,70% Dark Bites,1421,284,5.003521126760563
Dennison Crosswaite,Caramel Stuffed Bars,2317,464,4.993534482758621
Ches Bonnell,99% Dark & Pure,455,96,4.739583333333333
Gunar Cockshoot,Baker's Choco Chips,2191,524,4.181297709923665
Andria Kimpton,Fruit & Nut Bars,1456,359,4.055710306406685
Kelci Walkden,Caramel Stuffed Bars,476,125,3.808
Jan Morforth,Spicy Special Slims,1939,520,3.728846153846154
Karlen McCaffrey,Fruit & Nut Bars,1596,472,3.3813559322033897
Kaine Padly,99% Dark & Pure,1288,409,3.1491442542787285
Gigi Bohling,99% Dark & Pure,784,249,3.1485943775100402
Andria Kimpton,Baker's Choco Chips,329,109,3.018348623853211
Rafaelita Blaksland,70% Dark Bites,679,280,2.425
Mallorie Waber,After Nines,483,228,2.1184210526315788
Dotty Strutley,After Nines,252,237,1.0632911392405062
Dotty Strutley,Drinking Coco,91,135,0.674074074074074
